id,sourceGroup,sourceIndex,originalType,finalType,finalTypeCn,stem,optionA,optionB,optionC,optionD,optionE,optionF,optionG,answer,analysis,reviewStatus,note,deleted
PV-110,选择判断题,110,多选题,multiple,多选题,光伏电站工作票执行过程中，下列说法正确的有（）。,字迹工整清晰，不得任意涂改,复杂作业应附危险点分析及控制单,不合格工作票可直接修改使用,许可前必须核实现场安全措施,,,,ABD,,已初审,,否
PV-111,选择判断题,111,多选题,multiple,多选题,倒闸操作中，必须使用操作票的作业有（）。,复杂倒闸操作,拉合断路器单一操作,事故处理后的善后操作,拉开全场仅有的一组接地线,,,,AC,,需人工核对,操作票使用范围题存在规程口径差异；暂取复杂倒闸操作和事故后善后操作需要操作票。,否
PV-112,选择判断题,112,多选题,multiple,多选题,光伏电站巡检必须遵守的要求有（）。,按时、按路线、按项目执行,缺陷设备应重点巡视,可随意变更巡视路线,恶劣天气应增加巡检次数,,,,ABD,,已初审,,否
PV-113,选择判断题,113,多选题,multiple,多选题,下列属于日巡检设备的是（）。,环境监测仪,逆变器室,光伏组件,箱式变压器室,,,,ABCD,,已初审,,否
PV-114,选择判断题,114,多选题,multiple,多选题,光伏电站调度联系管理要求包括（）。,接令后必须复诵核对,所有通话必须录音,威胁安全时可拒绝执行命令,可拖延执行调度命令,,,,ABC,,已初审,,否
PV-115,选择判断题,115,多选题,multiple,多选题,光伏组件定检内容包括（）。,玻璃有无开裂、破损,组件直接拆卸清洗,电池片有无隐裂、热斑,MC4 插头是否松动,,,,ACD,,已初审,,否
PV-116,选择判断题,116,多选题,multiple,多选题,汇流箱定检时需要进行的项目有（）。,支路温度测量,箱体整体更换,避雷器状态检查,支路电压测量,,,,ACD,,已初审,,否
PV-117,选择判断题,117,多选题,multiple,多选题,变压器定检中属于维护内容的是（）。,绕组直接重绕,更换变色硅胶,检查油位、油温,绝缘电阻测试,,,,BCD,,已初审,,否
PV-118,选择判断题,118,多选题,multiple,多选题,设备缺陷管理的正确做法是（）。,及时发现并记录,紧急缺陷立即上报,缺陷消除前加强监视,小缺陷可长期不处理,,,,ABC,,已初审,,否
PV-119,选择判断题,119,多选题,multiple,多选题,属于光伏电站安全设施的有（）。,办公电脑、打印机,绝缘垫、绝缘靴,安全警示牌、遮栏,灭火器、消防沙箱,,,,BCD,,已初审,,否
PV-120,选择判断题,120,多选题,multiple,多选题,下列属于定期维护内容的是（）。,箱变除尘,设备随意拆卸,逆变器除尘,光伏组件清洁,,,,ACD,,已初审,,否
PV-121,选择判断题,121,多选题,multiple,多选题,智能营维云中心核心功能包括（）,多电站集中接入管理,大数据分析与损耗定位,现场设备直接维修,多维度报表输出,,,,ABD,,已初审,,否
PV-122,选择判断题,122,多选题,multiple,多选题,生产管理系统中，未处理告警可执行的操作有（）,转工作票,直接报废设备,转缺陷,清除告警,,,,ACD,,需人工核对,未处理告警操作是否允许“清除告警”取决于系统规则；暂保留 A/C/D。,否
PV-123,选择判断题,123,多选题,multiple,多选题,影响光伏电站系统效率 PR 值的关键因素包括（）,组件灰尘遮挡,温度损耗,组件不匹配损耗,运维人员数量,,,,ABC,,已初审,,否
PV-124,选择判断题,124,多选题,multiple,多选题,下列哪些因素可能导致光伏组件电池片隐裂( ),运输过程中的剧烈振动,组件受力不均匀,组件表面积灰,雪压过大,,,,ABD,,已初审,,否
PV-125,选择判断题,125,多选题,multiple,多选题,以下哪些属于光伏组件烧坏故障的表现( ),互联条接头处烧坏,正面电极被烧坏,背面被烧穿,接线盒密封圈老化,,,,ABC,,已初审,,否
PV-126,选择判断题,126,多选题,multiple,多选题,关于光伏组件接线盒的质量改进建议，下列哪些是正确的( ),盒体、盒盖采用压接一体式密封处理,预留扩展连接座以便更换不同规格二极管,盒盖设置导气阀或内部增加散热片,取消密封圈，完全使用灌封胶,,,,ABC,,已初审,,否
PV-127,选择判断题,127,多选题,multiple,多选题,以下哪些措施可以降低光伏组件PID现象的发生风险( ),减少水汽进入组件,提高EVA的抗水解能力,增加组件对地正偏压,使用抗PID的玻璃或封装材料,,,,ABD,,需人工核对,PID 防范中‘组件对地正偏压’表述易混；本版按降低水汽、提高 EVA 抗水解、抗 PID 材料处理。,否
PV-128,选择判断题,128,多选题,multiple,多选题,逆变器不并网的可能原因包括?,交流开关没有合上,逆变器交流输出端子接线松动,直流输入电压过低,漏电保护开关断开,,,,ABCD,,已初审,,否
PV-129,选择判断题,129,多选题,multiple,多选题,孤岛保护故障可能由下列哪些因素引起?,箱变低压侧断路器跳闸,电压采样板故障,转接板故障,光伏组件被遮挡,,,,ABC,,已初审,,否
PV-130,选择判断题,130,多选题,multiple,多选题,万能断路器不能合闸的常见原因包括?,控制回路故障,智能脱扣器动作后红色按钮未复位,储能机构未储能,储能机构储能未到位,,,,ABCD,,已初审,,否
PV-131,选择判断题,131,多选题,multiple,多选题,变压器绕组故障中，可能引发的原因有?,匝绝缘损坏,操作过电压使绕组变形,导线内部焊接不良,变压器油位过高,,,,ABC,,已初审,,否
PV-132,选择判断题,132,多选题,multiple,多选题,关于变压器分接开关故障，下列说法正确的有?,油箱上有放电声，电流表摆动,接触电阻增大会烧伤分接头,分接位置切换错误会导致三相电压不平衡,分接开关故障不会影响瓦斯保护,,,,ABC,,已初审,,否
PV-133,选择判断题,133,多选题,multiple,多选题,变压器声音异常的可能原因包括?,电网发生中性点不接地单相接地,变压器过载运行,内部夹件或螺钉松动,油位正常但油温降低,,,,ABC,,已初审,,否
PV-134,选择判断题,134,多选题,multiple,多选题,关于线路接地故障，下列说法正确的有?,金属性接地时故障相电压为零,非金属性接地时电压表显示不停摆动,单相接地分为金属性和非金属性两种,线路一相断线并单相接地时，三相电压不变,,,,ABC,,已初审,,否
PV-135,选择判断题,135,多选题,multiple,多选题,电缆故障中外力损坏的类型包括?,施工机械牵引力过大拉断电缆,电缆过度弯曲损坏绝缘层,电缆切剥时刀痕太深,电缆长期过负荷运行,,,,ABC,,已初审,,否
PV-136,选择判断题,136,多选题,multiple,多选题,关于电缆三相芯线短路故障，下列说法正确的有?,接地电阻低于1000Ω为低阻短路故障,接地电阻高于1000Ω为高阻短路故障,高阻短路故障比低阻故障更常见,短路故障只有低阻一种类型,,,,AB,,已初审,,否
PV-137,选择判断题,137,多选题,multiple,多选题,针对光伏电站电缆故障，日常巡视检查可采用的方法有（ ）。,红外热成像测温,超声波局部放电测试,夜间熄灯检查,绝缘电阻测试,,,,ABCD,,需人工核对,电缆故障巡视检测方法题将绝缘电阻测试也纳入，需按课程口径确认。,否
PV-138,选择判断题,138,判断题,judge,判断题,离网光伏电站必须与电网连接才能运行。,对,错,,,,,,错误,,已初审,,否
PV-139,选择判断题,139,判断题,judge,判断题,光伏组件的寿命较长，可以长期使用。,对,错,,,,,,正确,,已初审,,否
PV-140,选择判断题,140,判断题,judge,判断题,分布式光伏电站优先将电能输送给电网，再供本地使用。,对,错,,,,,,错误,,已初审,,否
PV-141,选择判断题,141,判断题,judge,判断题,大型荒漠光伏电站多采用集中式逆变器。,对,错,,,,,,正确,,已初审,,否
PV-142,选择判断题,142,判断题,judge,判断题,山丘光伏电站的组件朝向必须完全一致。,对,错,,,,,,错误,,已初审,,否
PV-143,选择判断题,143,判断题,judge,判断题,MPPT技术可以有效解决光伏组件的朝向不一致问题。,对,错,,,,,,正确,,已初审,,否
PV-144,选择判断题,144,判断题,judge,判断题,光伏电站的智能监控系统可以远程监测设备状态。,对,错,,,,,,正确,,已初审,,否
PV-145,选择判断题,145,判断题,judge,判断题,光伏电站接入电网的电压等级越高，规模通常越大。,对,错,,,,,,正确,,已初审,,否
PV-146,选择判断题,146,判断题,judge,判断题,离网光伏电站不需要蓄电池。,对,错,,,,,,错误,,已初审,,否
PV-147,选择判断题,147,判断题,judge,判断题,光伏电站的升压变压器用于提高电压等级以便并网。,对,错,,,,,,正确,,已初审,,否
PV-148,选择判断题,148,判断题,judge,判断题,电击是指电流的热效应、化学效应对人体外部造成的伤害。,对,错,,,,,,错误,,已初审,,否
PV-149,选择判断题,149,判断题,judge,判断题,在装设临时接地线时，应先接接地端，再接设备端。,对,错,,,,,,正确,,已初审,,否
PV-150,选择判断题,150,判断题,judge,判断题,在带电检修时，应先接相线，后接地线。,对,错,,,,,,错误,,已初审,,否
PV-151,选择判断题,151,判断题,judge,判断题,悬挂“禁止合闸、线路有人工作”的警告牌是停电工作中的一项安全技术措施。,对,错,,,,,,正确,,已初审,,否
PV-152,选择判断题,152,判断题,judge,判断题,安全用电的组织措施包括建立健全规章制度和加强安全教育。,对,错,,,,,,正确,,已初审,,否
PV-153,选择判断题,153,判断题,judge,判断题,单体太阳能电池片可以直接作为电源使用。,对,错,,,,,,正确,,需人工核对,单体电池片是否可直接作为电源使用存在工程语境差异；暂取正确。,否
PV-154,选择判断题,154,判断题,judge,判断题,光伏组件的输出功率随日照强度增强而增大。,对,错,,,,,,正确,,已初审,,否
PV-155,选择判断题,155,判断题,judge,判断题,多晶硅光伏组件的使用寿命比单晶硅更长。,对,错,,,,,,错误,,已初审,,否
PV-156,选择判断题,156,判断题,judge,判断题,光伏组件的电流温度系数一般为正值。,对,错,,,,,,正确,,已初审,,否
PV-157,选择判断题,157,判断题,judge,判断题,热斑效应会使光伏组件的输出功率提高。,对,错,,,,,,错误,,已初审,,否
PV-158,选择判断题,158,判断题,judge,判断题,在光伏组件并联时，需要为每条并联线路串联防反充二极管。,对,错,,,,,,正确,,已初审,,否
PV-159,选择判断题,159,判断题,judge,判断题,双轴跟踪系统的太阳辐射接收效果优于固定式系统。,对,错,,,,,,正确,,已初审,,否
PV-160,选择判断题,160,判断题,judge,判断题,光伏组件的填充因子（FF）是衡量其输出性能的重要参数之一。,对,错,,,,,,正确,,已初审,,否
PV-161,选择判断题,161,判断题,judge,判断题,工作票填写可以任意涂改，只要内容清晰即可。( ),对,错,,,,,,错误,,已初审,,否
PV-162,选择判断题,162,判断题,judge,判断题,事故处理、拉合断路器的单一操作可以不使用操作票。( ),对,错,,,,,,正确,,已初审,,否
PV-163,选择判断题,163,判断题,judge,判断题,巡检人员可以随意更改巡视路线和项目。( ),对,错,,,,,,错误,,已初审,,否
PV-164,选择判断题,164,判断题,judge,判断题,雷雨天气检查室外高压设备时，应穿绝缘靴，不得靠近避雷器和避雷针。( ),对,错,,,,,,正确,,已初审,,否
PV-165,选择判断题,165,判断题,judge,判断题,中控室值班人员可以在中控室内用餐、睡觉。( ),对,错,,,,,,错误,,已初审,,否
PV-166,选择判断题,166,判断题,judge,判断题,光伏电站必须服从电网调度机构的统一安排，执行调度指令。( ),对,错,,,,,,正确,,已初审,,否
PV-167,选择判断题,167,判断题,judge,判断题,设备定期检查时间间隔可以根据现场情况随意延长。( ),对,错,,,,,,错误,,已初审,,否
PV-168,选择判断题,168,判断题,judge,判断题,工作票填写可以涂改，只要内容正确即可。( ),对,错,,,,,,错误,,已初审,,否
PV-169,选择判断题,169,判断题,judge,判断题,拉合断路器的单一操作可以不使用操作票。（）,对,错,,,,,,正确,,已初审,,否
PV-170,选择判断题,170,判断题,judge,判断题,巡检人员可根据现场情况随意更改巡视路线。（）,对,错,,,,,,错误,,已初审,,否
PV-171,选择判断题,171,判断题,judge,判断题,雷雨天气检查室外高压设备应穿绝缘靴，不得靠近避雷器。（）,对,错,,,,,,正确,,已初审,,否
PV-172,选择判断题,172,判断题,judge,判断题,中控室值班人员可随时离岗，只要有人替班即可。（）,对,错,,,,,,错误,,已初审,,否
PV-173,选择判断题,173,判断题,judge,判断题,光伏组件表面清洁维护周期为 1 个月。（）,对,错,,,,,,正确,,需人工核对,清洁维护周期受环境影响大；题库若按固定 1 个月则取正确。,否
PV-174,选择判断题,174,判断题,judge,判断题,支架接地只需连接牢固，无需测量接地电阻。（）,对,错,,,,,,错误,,已初审,,否
PV-175,选择判断题,175,判断题,judge,判断题,安全生产检查应贯彻 “边查边改” 原则。（）,对,错,,,,,,正确,,已初审,,否
PV-176,选择判断题,176,判断题,judge,判断题,逆变器带电运行时可直接打开柜门除尘。（）,对,错,,,,,,错误,,已初审,,否
PV-177,选择判断题,177,判断题,judge,判断题,每次定检后需将检查情况汇总至故障记录簿。（）,对,错,,,,,,错误,,需人工核对,定检后记录去向可能是定检/缺陷/故障记录；暂取错误，建议核对课件。,否
PV-178,选择判断题,178,判断题,judge,判断题,复杂作业工作票需附带危险点分析及控制单。（）,对,错,,,,,,正确,,已初审,,否
PV-179,选择判断题,179,判断题,judge,判断题,单人值班场所所有倒闸操作都必须两人执行。（）,对,错,,,,,,错误,,需人工核对,单人值班场所倒闸操作是否必须两人执行取决于站内规程；暂取错误。,否
PV-180,选择判断题,180,判断题,judge,判断题,设备缺陷处理完毕后无需验收即可投入运行。（）,对,错,,,,,,错误,,已初审,,否
PV-181,选择判断题,181,判断题,judge,判断题,应急组织机构必须明确应急总指挥、通讯员等岗位。（）,对,错,,,,,,正确,,已初审,,否
PV-182,选择判断题,182,判断题,judge,判断题,智能营维分析系统的损耗分析只能按日统计，不支持按月 / 年统计。（）,对,错,,,,,,错误,,已初审,,否
PV-183,选择判断题,183,判断题,judge,判断题,工作票主要用于规范倒闸操作，操作票主要用于检修作业安全许可。（）,对,错,,,,,,错误,,已初审,,否
PV-184,选择判断题,184,判断题,judge,判断题,组串离散率过高，说明该逆变器下挂的组串存在故障、遮挡或异常。（）,对,错,,,,,,正确,,已初审,,否
PV-185,选择判断题,185,判断题,judge,判断题,智能光伏电站监控系统仅能监控本厂家设备，无法对接第三方箱变、汇集站。（）,对,错,,,,,,错误,,已初审,,否
PV-186,选择判断题,186,判断题,judge,判断题,生产管理系统中，交接班记录必须在系统内电子化留存，便于追溯。（）,对,错,,,,,,正确,,已初审,,否
PV-187,选择判断题,187,判断题,judge,判断题,逆变器转换效率经验值约 98%，过高或过低均说明设备可能存在异常。（）,对,错,,,,,,正确,,已初审,,否
PV-188,选择判断题,188,判断题,judge,判断题,光伏组件的热斑效应只能由外部遮挡引起，积灰不会导致热斑。,对,错,,,,,,错误,,已初审,,否
PV-189,选择判断题,189,判断题,judge,判断题,光伏组件发生隐裂后，在EL成像中可以看到明显的暗区或黑线。,对,错,,,,,,正确,,已初审,,否
PV-190,选择判断题,190,判断题,judge,判断题,接线盒湿热试验后，如果盒体与背板脱落，说明试验失败。,对,错,,,,,,正确,,已初审,,否
PV-191,选择判断题,191,判断题,judge,判断题,光伏组件蜗牛纹的出现一定伴随着电池片隐裂。,对,错,,,,,,错误,,已初审,,否
PV-192,选择判断题,192,判断题,judge,判断题,逆变器的孤岛保护功能是指当电网停电时，逆变器应继续给本地负载供电，以保障重要负荷运行。,对,错,,,,,,错误,,已初审,,否
PV-193,选择判断题,193,判断题,judge,判断题,直流过电压故障可以通过减少光伏组件的串联数量或调整组件倾角来缓解。,对,错,,,,,,正确,,需人工核对,直流过电压可通过减少串联数量处理；‘调整倾角’作为缓解措施保留为正确但建议核对。,否
PV-194,选择判断题,194,判断题,judge,判断题,IGBT模块烧毁的整改措施包括对驱动板重新做三防处理、更换防尘棉和封堵风道空隙。,对,错,,,,,,正确,,已初审,,否
PV-195,选择判断题,195,判断题,judge,判断题,漏电流故障一旦发生，只需要更换低质量的光伏组件即可彻底解决。,对,错,,,,,,错误,,已初审,,否
PV-196,选择判断题,196,判断题,judge,判断题,断路器一合闸就跳闸，可能是出线回路有短路现象，可以反复多次合闸以确认故障点。,对,错,,,,,,错误,,已初审,,否
PV-197,选择判断题,197,判断题,judge,判断题,变压器铁心两点接地会导致环流引起局部发热，严重时可能烧毁铁心。,对,错,,,,,,正确,,已初审,,否
PV-198,选择判断题,198,判断题,judge,判断题,变压器在正常运行时发出的“嗡嗡”声不均匀，说明运行正常，无需检查。,对,错,,,,,,错误,,已初审,,否
PV-199,选择判断题,199,判断题,judge,判断题,变压器过电压引起的故障很少发生，因为高压侧一般装有避雷器保护装置。,对,错,,,,,,正确,,需人工核对,变压器过电压故障是否‘很少发生’为课件口径题；暂取正确，建议核对。,否
PV-200,选择判断题,200,判断题,judge,判断题,当电压互感器低压保险熔断时，中央信号会报警“电压互感器断线”，且熔断相电压为零，另两相电压正常，不会出现零序电压。,对,错,,,,,,正确,,已初审,,否
PV-201,选择判断题,201,判断题,judge,判断题,非金属性接地故障中，故障相电压会升高到线电压。,对,错,,,,,,错误,,已初审,,否
PV-SA-01,简答题,SA-01,简答题,blank,简答题,热斑效应的危害有哪些？,,,,,,,,热斑可能会使光伏组件焊点熔化、封装材料损坏，降低输出功率，甚至会烧毁光伏组件，使整个光伏组件失效。,,来自学习通标准答案,,否
PV-SA-02,简答题,SA-02,简答题,blank,简答题,光伏电站的生产管理内容主要有哪些？,,,,,,,,工作票管理、操作票管理、倒闸操作管理、交接班管理、巡检管理、设备定期检查管理、调度联系管理制度、运行分析管理制度、设备缺点管理制度、中控室值班管理、文档与信息管理、人员培训管理。,,来自学习通标准答案,,否
PV-SA-03,简答题,SA-03,简答题,blank,简答题,在光伏电站中，旁路二极管和防反充（防逆流）二极管的作用分别是什么？,,,,,,,,"旁路二极管：

作用： 主要用于防止热斑效应。当光伏组件中的某个电池片或某串电池片被遮挡、损坏或出现故障时，它会产生高阻抗，阻碍电流通过。此时，旁路二极管（并联在该电池串两端）会提供一个低阻抗的旁路通道，让整串组件的电流绕过故障部分，从而保护该电池串不被反向电压击穿或过热烧毁，同时保证了整个组串的电流通路。

防反充（防逆流）二极管：

作用： 主要用于防止在夜间或光照不足时，蓄电池或电网的电流反向流回光伏组件。因为光伏组件在无光照时相当于一个电阻负载，电流反向流过会消耗蓄电池电能，甚至可能损坏组件。该二极管串联在光伏组件的正极输出线路上，利用其单向导电性，只允许电流从组件流向负载（蓄电池或逆变器），阻止了反向电流。",,来自学习通标准答案,,否
PV-SA-04,简答题,SA-04,简答题,blank,简答题,光伏组件电气连接时需要考虑的原则有哪些？,,,,,,,,"1)串联时需要工作电流相同的光伏组件，并为每个光伏组件并联旁路二极管。

2)并联时需要工作电压相同的光伏组件，并在每一条并联线路中串联防反充二极管。

3)尽量使光伏组件的连接线路最短，并用较粗的导线。

4)严格防止个别性能变坏的光伏组件混入光伏方阵。",,来自学习通标准答案,,否
PV-SA-05,简答题,SA-05,简答题,blank,简答题,光伏组件的常见故障有哪些？,,,,,,,,光伏组件的常见故障主要有光伏组件的破裂，如隐裂、光伏组件外力机械损坏等，热斑，接线盒故障以及其他故障，比如光伏组件PID现场，光伏组件的闪电纹现场，太阳能电池片与EVA胶膜脱层、光伏组件的连接线或连接头断裂等。,,来自学习通标准答案,,否
PV-SA-06,简答题,SA-06,简答题,blank,简答题,请阐述开关柜防护要求中的电气五防的定义？,,,,,,,,"开关柜防护要求中的“五防""是:防止误分误合断路器、防止带电分合隔离开关、防止带电合接地刀闸、防止带接地刀闸分合断路器、防止误入带电间隔。开关柜具有一定的操作程序及机械或电气联锁机构。实践证明，无“五防”功能或“五防”功能不全是造成电力事故的主要原因。",,来自学习通标准答案,,否
PV-SA-07,简答题,SA-07,简答题,blank,简答题,如何通过五点四段RP分析，实现电站的损耗定位？,,,,,,,,电站侧设备众多，为了量化、评估电站每个环节的损耗情况，建立五点四段损耗模型。通过理论发电量、逆变器输入电量、逆变器输出电量、箱变输出电量、上网电量五个采集点，把电站损耗模型分为组串环境及失配损耗、逆变器损耗、线缆损耗和并网损耗四段。通过多电站各损耗段间横向、纵向和时间维度对比，找出电站损耗较大的损耗段。,,来自学习通标准答案,,否
PV-SA-08,简答题,SA-08,简答题,blank,简答题,光伏电站主要包含哪些设备？,,,,,,,,"（1）光伏组件（光伏阵列）

光伏电站的最核心部件，将太阳能转换为直流电能。

常见类型：单晶硅、多晶硅、薄膜组件。

关键参数：开路电压、短路电流、峰值功率、转换效率等。

（2）汇流箱

将多路光伏组串的直流电汇集成一路或多路输出。

内部包含直流熔断器、防反二极管、防雷器（SPD）、监测模块等。

有智能汇流箱和普通汇流箱之分，智能汇流箱具备监测组串电流、电压、功率及通讯功能。

（3）交直流配电柜

（4）逆变器

将光伏组件产生的直流电转换为符合电网要求的交流电。

是光伏电站的核心设备，兼具MPPT跟踪、孤岛保护、有功/无功调节等功能。

类型：集中式逆变器（用于大型地面电站）、组串式逆变器（用于分布式或复杂地形）、微型逆变器。

（5）箱式变压器（箱变）

将逆变器输出的低压交流电（如0.48kV/0.8kV）升压至中高压（如10kV/35kV）并入电网。

包含高压熔断器、负荷开关、变压器本体、低压侧断路器等。

（6）开关柜（高压开关柜）

用于控制和保护输配电线路，实现电能的分配和通断。

具备""电气五防""功能，保障操作安全。

内部包含断路器、隔离开关、电流互感器（CT）、电压互感器（PT）、避雷器等。

（7）静止无功发生器

（8）电缆（直流电缆 + 交流电缆）

（9）防雷接地系统

（10）监控系统",,来自学习通标准答案,,否
PV-SA-09,简答题,SA-09,简答题,blank,简答题,两票三制分别是什么？,,,,,,,,"两票：

工作票： 在电力生产设备上工作，进行检修、试验、安装等作业时，为保障安全而使用的书面命令和许可凭证。

操作票： 在进行电气设备的倒闸操作时，为保障操作正确性、防止误操作而填写的操作步骤和顺序的书面依据。

三制：

交接班制度： 运行人员交接班时，必须将设备运行状况、操作任务、注意事项等全面交接清楚。

巡回检查制度： 运行值班人员按规定的时间、路线、内容对设备进行定期巡视检查，及时发现设备异常。

设备定期试验轮换制度： 对备用设备和某些辅助设备按规定周期进行启动、切换试验，确保其处于良好备用状态。",,来自学习通标准答案,,否
PV-SA-10,简答题,SA-10,简答题,blank,简答题,热斑效应的防范措施有哪些？,,,,,,,,"为了防止出现热斑，应该在生产阶段控制太阳能电池内部的杂质，在太阳电池组件的正负极间并联一个旁路二极管，以避免光照组件所产生的能量被受遮蔽的光伏组件消耗。

在应用中需要注意的事项如下所述。

按要求对光伏组件进行检测，确定其承受热斑效应的能力。

采用性能一致性好的太阳能电池或光伏组件。

安装位置应保证光伏组件尽量不被遮挡。

及时清理维护，除去光伏组件表面污染物。",,来自学习通标准答案,,否
